X Ref,Name,Receipt Text,Ranking,Loyality Required,Start Date,End Date,Active,Qualifiers,,,,,
,,,,,,,,Retail Item Group,Minimum Identifier,Minimum Value,Discount Type,Discount Value,Reduces Tax
1163840,CV4 GLZRBRTX TX - 2/$4.00,2/$4.00,0,n,2019-08-13,,y,401 GLZRBRTX TX - 2/$4.00,Quantity,2,Set Retail,4,y
1163841,CV4 GLZRBRTX TX - 2/$5.00,2/$5.00,0,n,2019-08-13,,y,401 GLZRBRTX TX - 2/$5.00,Quantity,2,Set Retail,5,y
1163927,CV4 GLZRBRTX TX - 2/$5.00 SP,2/$5.00 SP,0,n,2019-08-16,2019-10-31,y,401 GLZRBRTX TX - 2/$5.00 SP,Quantity,2,Set Retail,5,y
1163842,CV4 GLZRBRTX TX - 2/$6.00,2/$6.00,0,n,2019-08-13,,y,401 GLZRBRTX TX - 2/$6.00,Quantity,2,Set Retail,6,y
1163922,CV4 GLZRBRTX TX 3/$5.50 SP,3/$5.50 SP,0,n,2019-08-16,2019-10-31,y,401 GLZRBRTX TX 3/$5.50 SP,Quantity,3,Set Retail,5.5,y
1163914,CV4 GLZRBRTX WYB $2.00 SP,$2.00 SP,0,n,2019-08-16,2019-10-31,y,401 GLZRBRTX WYB $2.00 SP,Quantity,2,Set Retail,4,y
1164339,CV4 GULFDIST AL - 2/$3.00, - 2/$3.00,0,n,2019-09-03,,y,401 GULFDIST AL - 2/$3.00,Quantity,2,Set Retail,3,y
1164341,CV4 GULFDIST AL - 2/$3.50,- 2/$3.50,0,n,2019-09-03,,y,401 GULFDIST AL - 2/$3.50,Quantity,2,Set Retail,3.5,y
1164342,CV4 GULFDIST AL - 2/$4.00,- 2/$4.00,0,n,2019-09-03,,y,401 GULFDIST AL - 2/$4.00,Quantity,2,Set Retail,4,y
1164343,CV4 GULFDIST AL - 2/$5.00, - 2/$5.00,0,n,2019-09-03,,y,401 GULFDIST AL - 2/$5.00,Quantity,2,Set Retail,5,y
1164327,CV4 LFDSTELP TX - 2/$1.75,CV4 LFDSTELP TX - 2/$1.75,0,n,2019-09-03,2019-10-31,y,401 LFDSTELP TX - 2/$1.75,Quantity,2,Set Retail,3.5,y
1163849,CV4 LFDSTELP TX - 2/$2.00,2/$2.00,0,n,2019-08-13,,y,401 LFDSTELP TX - 2/$2.00,Quantity,2,Set Retail,2,y
1163926,CV4 LFDSTELP TX - 2/$2.19 SP,2/$2.19 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX - 2/$2.19 SP,Quantity,2,Set Retail,2.19,y
1163924,CV4 LFDSTELP TX - 2/$2.50 SP,2/$2.50 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX - 2/$2.50 SP,Quantity,2,Set Retail,2.5,y
1163850,CV4 LFDSTELP TX - 2/$3.00,2/$3.00,0,n,2019-08-13,,y,401 LFDSTELP TX - 2/$3.00,Quantity,2,Set Retail,3,y
1163851,CV4 LFDSTELP TX - 2/$3.50,CV4 LFDSTELP TX - 2/$3.50,0,n,2019-08-13,,y,401 LFDSTELP TX - 2/$3.50,Quantity,2,Set Retail,3.5,y
1163923,CV4 LFDSTELP TX - 2/$3.75 SP,2/$3.75 SP,0,n,2019-08-16,2019-10-31,y,401 LFDSTELP TX - 2/$3.75 SP,Quantity,2,Set Retail,3.75,y
1163852,CV4 LFDSTELP TX - 2/$4.00,2/$4.00,0,n,2019-08-13,,y,401 LFDSTELP TX - 2/$4.00,Quantity,2,Set Retail,4,y
1163853,CV4 LFDSTELP TX - 2/$5.00,2/$5.00,0,n,2019-08-13,,y,401 LFDSTELP TX - 2/$5.00,Quantity,2,Set Retail,5,y
