X Ref,Name,Receipt Text,Ranking,Loyality Required,Start Date,End Date,Active,Qualifiers,,,,,
,,,,,,,,Retail Item Group,Minimum Identifier,Minimum Value,Discount Type,Discount Value,Reduces Tax
1164214,GC6- 2PBAR & COFF~ 7.00 2S2C,2 PBAR & BF COMBO 24A,63,n,2019-09-03,2019-09-30,y,fdmfn- BRKFST 2F$7.00,Quantity,2,Set Retail,7,y
1164214,GC6- 2PBAR & COFF~ 7.00 2S2C,,,,,,,fdmfn- SMALL SPEEDY SPUDS PLAIN,Quantity,2,Set Retail,1.98,y
1164214,GC6- 2PBAR & COFF~ 7.00 2S2C,,,,,,,fd srv- COFFEE ALL SS,Quantity,2,Set Retail,1.4,y
1164214,GC6- 2PBAR & COFF~ 7.00 2S2C,,,,,,,consum-POWERBAR PRO+ 0919,Quantity,2,Price Discount,1,y
