X Ref,Name,Receipt Text,Ranking,Loyality Required,Start Date,End Date,Active,Qualifiers,,,,,
,,,,,,,,Retail Item Group,Minimum Identifier,Minimum Value,Discount Type,Discount Value,Reduces Tax
1164238,GC6- 2PBAR & COFF~ 6.00 2S2C,2 PBAR & BF COMBO 22A,65,n,2019-09-03,2019-09-30,y,fdmfn- Breakfast 2F$6.00,Quantity,2,Set Retail,6,y
1164238,GC6- 2PBAR & COFF~ 6.00 2S2C,,,,,,,fdmfn- SMALL SPEEDY SPUDS PLAIN,Quantity,2,Set Retail,1.98,y
1164238,GC6- 2PBAR & COFF~ 6.00 2S2C,,,,,,,fd srv- COFFEE ALL SS,Quantity,2,Set Retail,1.4,y
1164238,GC6- 2PBAR & COFF~ 6.00 2S2C,,,,,,,consum-POWERBAR PRO+ 0919,Quantity,2,Price Discount,1,y
