Supplier Name,STHGLZAZ - SOUTHERN GLAZERS AZ (WN)(LQ)(AZ) m o,,,,,,,,,,,,,,,,,,,,
Supplier Xref,STHGLZAZ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_080686395904,DEKUYPER SOUR APPLE PCKR 50ML,152698,152698,,,,a,401 03 001,Case,120,,,u,_080686395904,Master,94.19,0,1900-01-01,2075-12-31,,
