Supplier Name,MNHTHAMP-MANHATTAN DIST Metro (MLR CRS)(NY)asn,,,,,,,,,,,,,,,,,,,,
Supplier Xref,MNHTHAMP,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_849806002678,FOUR LOKO SOUR GRAPE 23.5Z CN,1100489,1100489,,,,a,401 01 004,Case,12,,,u,_849806002678,Master,24.39,0,1900-01-01,2075-12-31,,
