Supplier Name,JJTAYLOR-JJ TAYLOR DISTRIBUTING (MLR CRS)(FLA),,,,,,,,,,,,,,,,,,,,
Supplier Xref,JJTAYLOR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_082000776925,SMIRNOFF ICE SPIKED SCREWDRIVER 23.5z CN,1081066,1081066,,,,a,401 01 004,Case,12,,,u,_082000776925,Master,26.8,0,1900-01-01,2075-12-31,,
