Supplier Name,CLASBRAN-CLASSIC BRANDS-CHILLIC (AB)(OH) ASN,,,,,,,,,,,,,,,,,,,,
Supplier Xref,CLASBRAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Product Code,Item Name,Xref Code,Linked Item Xref Code,Formula #1,Formula #2,Description,Status,Supplier Item Group,Supplier Package UOM,Package Qty,Availability Start Date,Availability End Date,Barcode Type,Barcode Number,Cost Level,Package Cost,Allowance,Start Date,End Date,,
_635985260394,WHITE CLAW MANGO 19.2Z CN,1123104,1123104,,,,a,401 01 004,Case,12,,,u,_635985260394,Master,21,0,1900-01-01,2075-12-31,,
