business_unit_id,worksheet_id,inventory_item_id,count,last_count_timestamp
999,999,10027038,17,2019-04-24 00:00:01
999,999,10041089,2,2019-04-24 00:00:01
999,999,10050743,16,2019-04-24 00:00:01
999,999,10018834,5,2019-04-24 00:00:01
999,999,10009677,0,2019-04-24 00:00:01
999,999,10007588,3,2019-04-24 00:00:01
999,999,10009678,42,2019-04-24 00:00:01
999,999,10006601,1,2019-04-24 00:00:01
999,999,10007589,63,2019-04-24 00:00:01
999,999,10008540,9,2019-04-24 00:00:01
999,999,10006602,10,2019-04-24 00:00:01
999,999,10009680,0,2019-04-24 00:00:01
999,999,10006603,15,2019-04-24 00:00:01
999,999,10007591,16,2019-04-24 00:00:01
999,999,10006604,13,2019-04-24 00:00:01
999,999,10006605,0,2019-04-24 00:00:01
999,999,10008544,209,2019-04-24 00:00:01
999,999,10008545,39,2019-04-24 00:00:01
999,999,10006606,0,2019-04-24 00:00:01
999,999,10007593,27,2019-04-24 00:00:01
999,999,10008546,89,2019-04-24 00:00:01
999,999,10009683,0,2019-04-24 00:00:01
999,999,10006607,7,2019-04-24 00:00:01
999,999,10007594,0,2019-04-24 00:00:01
999,999,10008547,0,2019-04-24 00:00:01
999,999,10009684,0,2019-04-24 00:00:01
999,999,10007595,0,2019-04-24 00:00:01
999,999,10009685,0,2019-04-24 00:00:01
999,999,10007596,75,2019-04-24 00:00:01
999,999,10008548,19,2019-04-24 00:00:01
999,999,10009686,0,2019-04-24 00:00:01
999,999,10006610,48,2019-04-24 00:00:01
999,999,10008549,0,2019-04-24 00:00:01
999,999,10007598,16,2019-04-24 00:00:01
999,999,10008550,5,2019-04-24 00:00:01
999,999,10009687,13,2019-04-24 00:00:01
999,999,10008551,0,2019-04-24 00:00:01
999,999,10009688,0,2019-04-24 00:00:01
999,999,10007599,0,2019-04-24 00:00:01
999,999,10008552,39,2019-04-24 00:00:01
999,999,10006614,33,2019-04-24 00:00:01
999,999,10007600,0,2019-04-24 00:00:01
999,999,10006615,8,2019-04-24 00:00:01
999,999,10008554,0,2019-04-24 00:00:01
999,999,10009691,4,2019-04-24 00:00:01
999,999,10008555,0,2019-04-24 00:00:01
999,999,10009692,0,2019-04-24 00:00:01
999,999,10006617,0,2019-04-24 00:00:01
999,999,10007602,0,2019-04-24 00:00:01
999,999,10008556,0,2019-04-24 00:00:01
999,999,10009693,0,2019-04-24 00:00:01
999,999,10006618,0,2019-04-24 00:00:01
999,999,10007603,5,2019-04-24 00:00:01
999,999,10006619,4,2019-04-24 00:00:01
999,999,10007604,10,2019-04-24 00:00:01
999,999,10008558,10,2019-04-24 00:00:01
999,999,10009695,11,2019-04-24 00:00:01
999,999,10008560,0,2019-04-24 00:00:01
999,999,10007607,0,2019-04-24 00:00:01
999,999,10007608,0,2019-04-24 00:00:01
999,999,10008562,0,2019-04-24 00:00:01
999,999,10006625,0,2019-04-24 00:00:01
999,999,10007611,3,2019-04-24 00:00:01
999,999,10008564,0,2019-04-24 00:00:01
999,999,10009699,0,2019-04-24 00:00:01
999,999,10035671,0,2019-04-24 00:00:01
999,999,10007612,8,2019-04-24 00:00:01
999,999,10008565,4,2019-04-24 00:00:01
999,999,10009700,1,2019-04-24 00:00:01
999,999,10007613,25,2019-04-24 00:00:01
999,999,10006628,78,2019-04-24 00:00:01
999,999,10007614,11,2019-04-24 00:00:01
999,999,10008566,108,2019-04-24 00:00:01
999,999,10008567,38,2019-04-24 00:00:01
999,999,10008568,0,2019-04-24 00:00:01
999,999,10009702,0,2019-04-24 00:00:01
999,999,10009703,0,2019-04-24 00:00:01
999,999,10050745,0,2019-04-24 00:00:01
999,999,10014497,0,2019-04-24 00:00:01
999,999,10018837,13,2019-04-24 00:00:01
999,999,10042703,22,2019-04-24 00:00:01
999,999,10044081,18,2019-04-24 00:00:01
999,999,10046546,5,2019-04-24 00:00:01
999,999,10049376,36,2019-04-24 00:00:01
999,999,10016019,14,2019-04-24 00:00:01
999,999,10017596,14,2019-04-24 00:00:01
999,999,10021836,2,2019-04-24 00:00:01
999,999,10029936,42,2019-04-24 00:00:01
999,999,10031339,42,2019-04-24 00:00:01
999,999,10033951,22,2019-04-24 00:00:01
999,999,10038275,16,2019-04-24 00:00:01
999,999,10041092,22,2019-04-24 00:00:01
999,999,10010478,46,2019-04-24 00:00:01
999,999,10014498,10,2019-04-24 00:00:01
999,999,10018839,39,2019-04-24 00:00:01
999,999,10028448,46,2019-04-24 00:00:01
999,999,10036885,26,2019-04-24 00:00:01
999,999,10038276,40,2019-04-24 00:00:01
999,999,10042705,42,2019-04-24 00:00:01
999,999,10046548,0,2019-04-24 00:00:01
999,999,10010479,0,2019-04-24 00:00:01
999,999,10011726,33,2019-04-24 00:00:01
999,999,10013112,0,2019-04-24 00:00:01
999,999,10017598,0,2019-04-24 00:00:01
999,999,10018840,0,2019-04-24 00:00:01
999,999,10023019,29,2019-04-24 00:00:01
999,999,10025800,0,2019-04-24 00:00:01
999,999,10028449,0,2019-04-24 00:00:01
999,999,10031341,74,2019-04-24 00:00:01
999,999,10035675,25,2019-04-24 00:00:01
999,999,10041094,32,2019-04-24 00:00:01
999,999,10045291,11,2019-04-24 00:00:01
999,999,10046549,30,2019-04-24 00:00:01
999,999,10049379,35,2019-04-24 00:00:01
999,999,10050749,40,2019-04-24 00:00:01
999,999,10013113,33,2019-04-24 00:00:01
999,999,10014500,15,2019-04-24 00:00:01
999,999,10021839,90,2019-04-24 00:00:01
999,999,10025801,93,2019-04-24 00:00:01
999,999,10029939,64,2019-04-24 00:00:01
999,999,10031342,53,2019-04-24 00:00:01
999,999,10004307,0,2019-04-24 00:00:01
999,999,10005542,0,2019-04-24 00:00:01
999,999,10038278,8,2019-04-24 00:00:01
999,999,10041095,24,2019-04-24 00:00:01
999,999,10045292,38,2019-04-24 00:00:01
999,999,10048012,203,2019-04-24 00:00:01
999,999,10050750,39,2019-04-24 00:00:01
999,999,10052323,133,2019-04-24 00:00:01
999,999,10006629,145,2019-04-24 00:00:01
999,999,10007615,198,2019-04-24 00:00:01
999,999,10008569,144,2019-04-24 00:00:01
999,999,10006630,143,2019-04-24 00:00:01
999,999,10007616,58,2019-04-24 00:00:01
999,999,10009704,33,2019-04-24 00:00:01
999,999,10014503,24,2019-04-24 00:00:01
999,999,10018842,35,2019-04-24 00:00:01
999,999,10029941,0,2019-04-24 00:00:01
999,999,10031345,7,2019-04-24 00:00:01
999,999,10041098,19,2019-04-24 00:00:01
999,999,10044088,0,2019-04-24 00:00:01
999,999,10002024,0,2019-04-24 00:00:01
999,999,10014504,36,2019-04-24 00:00:01
999,999,10016026,41,2019-04-24 00:00:01
999,999,10017602,9,2019-04-24 00:00:01
999,999,10018843,13,2019-04-24 00:00:01
999,999,10019749,10,2019-04-24 00:00:01
999,999,10021843,8,2019-04-24 00:00:01
999,999,10005543,0,2019-04-24 00:00:01
999,999,10049384,13,2019-04-24 00:00:01
999,999,10003116,30,2019-04-24 00:00:01
999,999,10025804,3,2019-04-24 00:00:01
999,999,10006631,10,2019-04-24 00:00:01
999,999,10008570,10,2019-04-24 00:00:01
999,999,10002025,0,2019-04-24 00:00:01
999,999,10036892,0,2019-04-24 00:00:01
999,999,10035679,0,2019-04-24 00:00:01
999,999,10042710,21,2019-04-24 00:00:01
999,999,10049386,21,2019-04-24 00:00:01
999,999,10023027,0,2019-04-24 00:00:01
999,999,10059899,62,2019-04-24 00:00:01
999,999,10028455,39,2019-04-24 00:00:01
999,999,10029943,10,2019-04-24 00:00:01
999,999,10032588,0,2019-04-24 00:00:01
999,999,10031347,0,2019-04-24 00:00:01
999,999,10044091,8,2019-04-24 00:00:01
999,999,10002026,0,2019-04-24 00:00:01
999,999,10003117,126,2019-04-24 00:00:01
999,999,10007617,0,2019-04-24 00:00:01
999,999,10007618,0,2019-04-24 00:00:01
999,999,10009705,0,2019-04-24 00:00:01
999,999,10007619,0,2019-04-24 00:00:01
999,999,10007620,10,2019-04-24 00:00:01
999,999,10008572,88,2019-04-24 00:00:01
999,999,10009707,7,2019-04-24 00:00:01
999,999,10008573,0,2019-04-24 00:00:01
999,999,10007622,0,2019-04-24 00:00:01
999,999,10006635,11,2019-04-24 00:00:01
999,999,10014509,17,2019-04-24 00:00:01
999,999,10008575,0,2019-04-24 00:00:01
999,999,10009708,12,2019-04-24 00:00:01
999,999,10006637,6,2019-04-24 00:00:01
999,999,10008577,14,2019-04-24 00:00:01
999,999,10009709,1,2019-04-24 00:00:01
999,999,10006638,0,2019-04-24 00:00:01
999,999,10007624,0,2019-04-24 00:00:01
999,999,10009710,0,2019-04-24 00:00:01
999,999,10007625,0,2019-04-24 00:00:01
999,999,10009711,6,2019-04-24 00:00:01
999,999,10006641,8,2019-04-24 00:00:01
999,999,10007626,8,2019-04-24 00:00:01
999,999,10008581,0,2019-04-24 00:00:01
999,999,10009712,1,2019-04-24 00:00:01
999,999,10006642,7,2019-04-24 00:00:01
999,999,10007627,6,2019-04-24 00:00:01
999,999,10008582,8,2019-04-24 00:00:01
999,999,10009713,7,2019-04-24 00:00:01
999,999,10007628,14,2019-04-24 00:00:01
999,999,10006643,18,2019-04-24 00:00:01
999,999,10021847,0,2019-04-24 00:00:01
999,999,10023030,0,2019-04-24 00:00:01
999,999,10024417,0,2019-04-24 00:00:01
999,999,10008589,0,2019-04-24 00:00:01
999,999,10031348,0,2019-04-24 00:00:01
999,999,10033959,0,2019-04-24 00:00:01
999,999,10008590,0,2019-04-24 00:00:01
999,999,10046558,0,2019-04-24 00:00:01
999,999,10049388,0,2019-04-24 00:00:01
999,999,10017608,0,2019-04-24 00:00:01
999,999,10007640,0,2019-04-24 00:00:01
999,999,10009723,8,2019-04-24 00:00:01
999,999,10008595,0,2019-04-24 00:00:01
999,999,10006651,0,2019-04-24 00:00:01
999,999,10007642,0,2019-04-24 00:00:01
999,999,10007644,6,2019-04-24 00:00:01
999,999,10008599,11,2019-04-24 00:00:01
