1000001,10017706
1000002,10019506
1000003,10020552
1000004,10021751
1000005,10023796
1000006,10025079
1000007,10026179
1000008,10027595
1000009,10029284
1000015,10039095
1000017,10041912
1000018,10040509
1000019,10043355
1000021,10045866
1000025,10050347
1000026,10052805
1000027,10054513
1000028,10012383
1000029,10013766
1000030,10014877
1000031,10016288
1000032,10017707
1000033,10019507
1000034,10020553
1000035,10007275
1000036,10007274
1000037,10008667
1000038,10008666
1000039,10009878
1000040,10009877
1000041,10011432
1000042,10011431
1000043,10063560
1000044,10008669
1000045,10008668
1000047,10011434
1000048,10011435
1000049,10011433
1000050,10007277
1000051,10007276
1000052,10008671
1000053,10008672
1000054,10008670
1000055,10009880
1000056,10009879
1000057,10011437
1000058,10011436
1000059,10007279
1000060,10007278
1000061,10008674
1000062,10008673
1000063,10009882
1000064,10009881
1000065,10011439
1000066,10011438
1000067,10007281
1000068,10007280
1000069,10008676
1000070,10008675
1000071,10009884
1000072,10009883
1000073,10011441
1000074,10011440
1000075,10007283
1000076,10007282
1000077,10008678
1000078,10008677
1000079,10009886
1000080,10009885
1000081,10011443
1000082,10011442
1000083,10007285
1000084,10007284
1000086,10009888
1000087,10009887
1000091,10009890
1000092,10009889
1000094,10007287
1000095,10007286
1000096,10008680
1000097,10008679
1000098,10009892
1000099,10009891
1000100,10011445
1000101,10011444
1000102,10007289
1000103,10007288
1000104,10008682
1000105,10008681
1000106,10009894
1000107,10009893
1000108,10011447
1000109,10011446
1000110,10033188
1000111,10008684
1000112,10008683
1000113,10039096
1000114,10037388
1000115,10007291
1000116,10007290
1000117,10040510
1000119,10011449
1000120,10011448
1000121,10007293
1000122,10007292
1000123,10008686
1000124,10008685
1000125,10009896
1000126,10009895
1000127,10011451
1000128,10011450
1000129,10007295
1000130,10007294
1000131,10008688
1000132,10008687
1000133,10009898
1000134,10009897
1000135,10012384
1000136,10007297
1000137,10007296
1000138,10008690
1000139,10008689
1000140,10009900
1000141,10009899
1000142,10011453
1000143,10011452
1000145,10020554
1000146,10021752
1000147,10023797
1000150,10026180
1000151,10009902
1000152,10009901
1000153,10011455
1000154,10011454
1000155,10007299
1000156,10007298
1000157,10008692
1000158,10008691
