,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
13490,n,NATURAL LT 6PK 12z CN,,g,401 01 003 Value,Count,,ANHEUSER BUSCH INBEV,NATURAL LT 12z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13490-6,12.99,u,_018200000317,BEER PRODUCT GRPS-idc,NTC6P  natural 6p 12z cn fmly,Beer Type-***,Value,Brand-***,NATURAL,Flavor Type-***,Beer,IKB KEY (POG)-***,2970,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,12oz,Product Type-***,401 Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13517,n,MILW BEST 6PK 12z CN,,g,401 01 003 Value,Count,,MILLERCOORS,MILW BEST 12z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13517-6,12.99,u,_034100001544,BEER PRODUCT GRPS-idc,MBC6P  milw bst 6p 12z cn fmly,Beer Type-***,Value,Brand-***,MILWAUKEES BEST,Flavor Type-***,Beer,IKB KEY (POG)-***,2901,Manufacturer-***,MILLERCOORS,Product Size-***,12oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13520,n,MILW BEST LT 6PK 12z CN,,g,401 01 003 Value,Count,,MILLERCOORS,MILW BEST LT 12z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,13520-6,12.99,u,_034100073046,BEER PRODUCT GRPS-idc,MBC6P  milw bst 6p 12z cn fmly,Beer Type-***,Value,Brand-***,MILWAUKEES BEST,Flavor Type-***,Beer,IKB KEY (POG)-***,2900,Manufacturer-***,MILLERCOORS,Product Size-***,12oz,Product Type-***,401 Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-Each,6,,,,u,_034100006549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13531,n,BART&J BERRY CLR 4PK 12z LN,,g,401 01 004 High End,Count,,E&J GALLO WINERY,BART&J BERRY CLR 12z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,4-Each,4,Beer,13531-4,7.99,u,_085000002469,BEER PRODUCT GRPS-idc,Wine Authorized List Sept2010,Beer Type-***,Other,Brand-***,BARTLES & JAYMES,Flavor Type-***,Berry,IKB KEY (POG)-***,2492,Manufacturer-***,E&J GALLO WINERY,Product Size-***,12oz,Product Type-***,401 Wine Cooler,SMOKELESS TOBACCO-fwv,OHMAY,WINE PRODUCT GRPS-idc,B&J4P  bart&j 4p fmly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Each,4,,,,u,_085000002452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14089,n,BUSCH LT 6PK 12z CN,,g,401 01 003 Value,Count,,ANHEUSER BUSCH INBEV,BUSCH LT 12z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,14089-6,12.99,u,_182000018886,BEER PRODUCT GRPS-idc,BSC6P  busch 6p 12z cn fmly,Beer Type-***,Value,Brand-***,BUSCH,Flavor Type-***,Beer,IKB KEY (POG)-***,2899,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,12oz,Product Type-***,401 Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-Each,6,,,,u,_018200001888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14090,n,BUSCH 6PK 12z CN,,g,401 01 003 Value,Count,,ANHEUSER BUSCH INBEV,BUSCH 12z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,14090-6,12.99,u,_018200000515,BEER PRODUCT GRPS-idc,BSC6P  busch 6p 12z cn fmly,Beer Type-***,Value,Brand-***,BUSCH,Flavor Type-***,Beer,IKB KEY (POG)-***,2890,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,12oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14094,n,MILLER LT 6PK 12z CN,,g,401 01 002 Premium,Count,,MILLERCOORS,MILLER LT 12z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,14094-6,12.99,u,_034100003548,BEER PRODUCT GRPS-idc,MLC6P  mlr 6p 12z cn fmly,Beer Type-***,Premium,Brand-***,MILLER,Flavor Type-***,Beer,IKB KEY (POG)-***,2893,Manufacturer-***,MILLERCOORS,Product Size-***,12oz,Product Type-***,401 Lt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
