,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
1124411,n,CAMO 2.1A WALL CHARGER,,g,706 22 100 PUGS Phone/Accessor,Count,,PUGS~ Inc,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124411-1,10.99,u,_080798421270,Brand-***,Pugs,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
1124412,n,PG WIRELESS EARBUDS BLACK,,g,706 22 100 PUGS Phone/Accessor,Count,,PUGS~ Inc,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124412-1,26.99,u,_608707167943,Brand-***,Pugs,Flavor Type-***,Black,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
1124413,n,PG WIRELESS EARBUDS BLUE,,g,706 22 100 PUGS Phone/Accessor,Count,,PUGS~ Inc,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124413-1,26.99,u,_608707167967,Brand-***,Pugs,Flavor Type-***,Blue,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
1124415,n,CHARGER 2.1A DUAL USB,,g,706 22 100 PUGS Phone/Accessor,Count,,PUGS~ Inc,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124415-1,6.99,u,_080798423069,Brand-***,Pugs,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
1124416,n,PG WIRELESS EARBUDS WHITE,,g,706 22 100 PUGS Phone/Accessor,Count,,PUGS~ Inc,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124416-1,26.99,u,_608707167950,Brand-***,Pugs,Flavor Type-***,White,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
1124417,n,TYPE C USB CABLE,,g,706 22 100 PUGS Phone/Accessor,Count,,PUGS~ Inc,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124417-1,17.99,u,_080798423076,Brand-***,Pugs,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transfer Group,,,,,,,,,
1124418,n,ACRYLIC ENERGY DISPLAY 2 TEIR,,n,706 15C 000 PUGS Energy Shots,Count,,,,Use Category Setting,y,n,n,n,n,,,,,,,,,,,,,,,Default Strategy,n,n,n,,,NULL,NULL,NULL,NULL,NULL,,_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124472,n,PUGS CA1 CAMO,,g,706 19 000 PUGS Sunglasses,Count,,,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124472-1,16.99,u,_608707129644,Brand-***,Pugs,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124473,n,PUGS CA2 CAMO,,g,706 19 000 PUGS Sunglasses,Count,,,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124473-1,16.99,u,_608707129651,Brand-***,Pugs,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124474,n,PUGS CA3 CAMO,,g,706 19 000 PUGS Sunglasses,Count,,,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,General Merchandise,n,y,n,,,Each,1,Non-Food,1124474-1,16.99,u,_608707129668,Brand-***,Pugs,Manufacturer-***,PUGS~ Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
