,,Common Item Properties,,,,,,,,,Tracking,,,,,,,,,Unit of Measure Conversions,,,,,,,,,,Selling,,,,,,,,,,,,,      Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Groups,,,,,,,,,
Item ExternalID,Purged in BC,Item Name*,Item Description*,SoldAs*,Category*,Base UOM Class*,Reported In UOM,Manufacturer,SKUNumber,Taxability*,,,,,,,,,,Conversion 1,,,,,Conversion 2,,,,,Base Properties,,,,,,Retail Packs,,,,,,,Attribute #1,,Attribute #2,,Attribute #3,,Attribute #4,,Attribute #5,,Attribute #6,,Attribute #7,,Attribute #8,,Attribute #9,,Attribute #10,,Attribute #11,,Attribute #12,,Attribute #13,,Attribute #14,,Attribute #15,,Attribute #16,,Attribute #17,,Attribute #18,,Attribute #19,,Attribute #20,,Attribute #21,,Attribute #22,,Attribute #23,,Attribute #24,,Attribute #25,,Attribute #26,,Attribute #27,,Attribute #28,,Attribute #29,,Attribute #30,,,,,,,,,,,
,,,,,,,,,,,Active*,Track*,Expense Upon Receiving,Allow Fractional Quantities,Set Variance to Zero,Waste Tolerence,Missing Tolerence,Default Adjustment UOM,Default Transfer UOM,From UOM,From Qty,To Class,To UOM,To Qty,From UOM,From Qty,To Class,To UOM,To Qty,Retail Strategry,Prompt for Qty at POS*,Auto Queue Shelf Label*,Requires Swipe at POS*,Credit Category,Shelf Label UOM,Pack Name*,Pack Qty*,Retail Level Group,External Id*,List Price*,Barcode Type*,Barcode Number*,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Name,Value,Item Group #1,Item Group #2,Item Group #3,Item Group #4,Item Group #5,Item Group #6,Item Group #7,Item Group #8,Item Group #9,Item Group #10
37003184,n,SOL 12PK 12Z LN,,g,401 01 004 High End,Count,,MILLERCOORS,SOL 12Z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,12-Each,12,Beer,37003184-12,88.88,u,_072311230216,Brand-***,SOL,Manufacturer-***,MILLERCOORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003186,n,TECATE LT 20PK 7Z LN,,g,401 01 004 High End,Count,,HEINEKEN USA,TECATE LT 7Z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,7,,,,,,Alcohol,n,y,n,,,20-Each,20,Beer,37003186-20,88.88,u,_089826900244,BEER PRODUCT GRPS-idc,TECALL  tecate fmly,Brand-***,TECATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003187,n,WYDERS PEAR CIDER 6PK 12Z LN,,g,401 01 004 High End,Count,,,WYDERS PEAR CIDER 12Z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,37003187-6,88.88,u,_063791001335,Beer Type-***,Cider,Flavor Type-***,Pear,Manufacturer-***,VERMOND HARD CIDER COMPANY LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003188,n,SAN TAN HOP SHOCK 6PK 12Z CN,,g,401 01 004 High End,Count,,,SAN TAN HOP SHOCK 12Z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,37003188-6,88.88,u,_856229002130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003189,n,SAINT ARCHER IPA 19.2Z CN,,g,401 01 004 High End,Count,,SAINT ARCHER BREWING CO.,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,19.2,,,,,,Alcohol,n,y,n,,,Each,1,Beer,37003189-1,88.88,u,_085777500700,Brand-***,SAINT ARCHER BREWING CO.,Manufacturer-***,SAINT ARCHER BREWING CO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003200,n,BUD CHELADA 12PK 8Z CN,,g,401 01 004 High End,Count,,ANHEUSER BUSCH INBEV,BUD CHELADA 8Z CN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,8,,,,,,Alcohol,n,y,n,,,12-Each,12,Beer,37003200-12,88.88,u,_018200209994,Brand-***,CHELADA,Family -***,Chelada,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,12pk,Product Size-***,8 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003201,n,BUD ICE 32Z LN,,g,401 01 003 Value,Count,,ANHEUSER BUSCH INBEV,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,32,,,,,,Alcohol,n,y,n,,,Each,1,Beer,37003201-1,88.88,u,_018200002458,Brand-***,BUD ICE,Manufacturer-***,ANHEUSER BUSCH INBEV,Product Size-***,32oz,Product Type-***,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003202,n,FOUR PEAKS HOP IPA 6PK 12Z LN,,g,401 01 004 High End,Count,,GPMI COMPANY,FOUR PEAKS HOP IPA 12Z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,37003202-6,88.88,u,_815351003026,Brand-***,FOUR PEAKS,Manufacturer-***,GPMI COMPANY,Product Size-***,6pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003203,n,FOUR PEAKS KILT LIFTER 16Z CN,,g,401 01 004 High End,Count,,GPMI COMPANY,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,16,,,,,,Alcohol,n,y,n,,,Each,1,Beer,37003203-1,88.88,u,_815351001138,Brand-***,FOUR PEAKS,Flavor Type-***,Beer,Manufacturer-***,GPMI COMPANY,Product Size-***,16oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003195,n,GOLDSCHLAGER 87PF 375ML,,g,401 03 001 Liquor,Count,,DIAGEO,,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,mLiter,375,,,,,,Alcohol,n,y,n,,,Each,1,Liquor,37003195-1,88.88,u,_086767508799,Brand-***,GOLDSCHLAGER,Flavor Type-***,Cinnamon,Manufacturer-***,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37003204,n,OAK CREEK AMBER ALE 6PK 12Z LN,,g,401 01 004 High End,Count,,OAK CREEK BREWERY,OAK CREEK AMBER ALE 12Z LN,Use Category Setting,y,y,n,n,n,,,Each,Each,Each,1,Volume,Fl. Ounce,12,,,,,,Alcohol,n,y,n,,,6-Each,6,Beer,37003204-6,88.88,u,_670492100320,Flavor Type-***,Amber,Manufacturer-***,OAK CREEK BREWERY,Product Size-***,6pk,Product Type-***,401 Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
