09-11-19T12:57:18: Start Log
09-11-19T12:57:18: Processing File: Retail Item Fix Missing Attributes 09-10-2019.xlsx
09-11-19T12:57:42: Item Rows: 1070, External Id: 1075749
09-11-19T12:57:42: Item Rows: 1080, External Id: 1082389
09-11-19T12:57:42: Item Rows: 1090, External Id: 1083623
09-11-19T12:57:42: Item Rows: 1100, External Id: 1086032
09-11-19T12:57:43: Item Rows: 1110, External Id: 1086733
09-11-19T12:57:43: Item Rows: 1120, External Id: 1088471
09-11-19T12:57:43: Item Rows: 1130, External Id: 1125418
09-11-19T12:57:43: Item Rows: 1140, External Id: 10056
09-11-19T12:57:43: Item Rows: 1150, External Id: 10063
09-11-19T12:57:44: Item Rows: 1160, External Id: 10073
09-11-19T12:57:44: Item Rows: 1170, External Id: 10080
09-11-19T12:57:44: Item Rows: 1180, External Id: 10083
09-11-19T12:57:44: Item Rows: 1190, External Id: 10087
09-11-19T12:57:44: Item Rows: 1200, External Id: 10090
09-11-19T12:57:44: Item Rows: 1210, External Id: 10092
09-11-19T12:57:44: Item Rows: 1220, External Id: 10102
09-11-19T12:57:45: Item Rows: 1230, External Id: 10111
09-11-19T12:57:45: Item Rows: 1240, External Id: 101132
09-11-19T12:57:45: Item Rows: 1250, External Id: 10117
09-11-19T12:57:45: Item Rows: 1260, External Id: 10123
09-11-19T12:57:45: Item Rows: 1270, External Id: 10134
09-11-19T12:57:45: Item Rows: 1280, External Id: 10145
09-11-19T12:57:46: Item Rows: 1290, External Id: 101531
09-11-19T12:57:46: Item Rows: 1300, External Id: 101550
09-11-19T12:57:46: Item Rows: 1310, External Id: 10160
09-11-19T12:57:46: Item Rows: 1320, External Id: 10166
09-11-19T12:57:46: Item Rows: 1330, External Id: 108109
09-11-19T12:57:46: Item Rows: 1340, External Id: 10169
09-11-19T12:57:46: Item Rows: 1350, External Id: 10177
09-11-19T12:57:47: Item Rows: 1360, External Id: 10182
09-11-19T12:57:47: Item Rows: 1370, External Id: 10194
09-11-19T12:57:47: Item Rows: 1380, External Id: 10202
09-11-19T12:57:47: Item Rows: 1390, External Id: 10207
09-11-19T12:57:47: Item Rows: 1400, External Id: 10210
09-11-19T12:57:47: Item Rows: 1410, External Id: 10239
09-11-19T12:57:48: Item Rows: 1420, External Id: 10269
09-11-19T12:57:48: Item Rows: 1430, External Id: 10276
09-11-19T12:57:48: Item Rows: 1440, External Id: 123705
09-11-19T12:57:48: Item Rows: 1450, External Id: 120387
09-11-19T12:57:48: Item Rows: 1460, External Id: 140929
09-11-19T12:57:48: Item Rows: 1470, External Id: 14236
09-11-19T12:57:48: Item Rows: 1480, External Id: 14544
09-11-19T12:57:49: Item Rows: 1490, External Id: 145892
09-11-19T12:57:49: Item Rows: 1500, External Id: 145911
09-11-19T12:57:49: Item Rows: 1510, External Id: 147866
09-11-19T12:57:49: Item Rows: 1520, External Id: 150421
09-11-19T12:57:49: Item Rows: 1530, External Id: 15126
09-11-19T12:57:50: Item Rows: 1540, External Id: 15266
09-11-19T12:57:50: Item Rows: 1550, External Id: 15268
09-11-19T12:57:50: Item Rows: 1560, External Id: 15401
09-11-19T12:57:50: Item Rows: 1570, External Id: 15965
09-11-19T12:57:50: Item Rows: 1580, External Id: 161264
09-11-19T12:57:50: Item Rows: 1590, External Id: 16175
09-11-19T12:57:50: Item Rows: 1600, External Id: 163634
09-11-19T12:57:51: Item Rows: 1610, External Id: 163637
09-11-19T12:57:51: Item Rows: 1620, External Id: 163642
09-11-19T12:57:51: Item Rows: 1630, External Id: 163645
09-11-19T12:57:51: Item Rows: 1640, External Id: 163646
09-11-19T12:57:51: Item Rows: 1650, External Id: 163649
09-11-19T12:57:51: Item Rows: 1660, External Id: 17606
09-11-19T12:57:51: Item Rows: 1670, External Id: 18152
09-11-19T12:57:52: Item Rows: 1680, External Id: 24170
09-11-19T12:57:52: Item Rows: 1690, External Id: 28347
09-11-19T12:57:52: Item Rows: 1700, External Id: 37182
09-11-19T12:57:52: Item Rows: 1710, External Id: 42361
09-11-19T12:57:52: Item Rows: 1720, External Id: 44822
09-11-19T12:57:52: Item Rows: 1730, External Id: 45249
09-11-19T12:57:53: Item Rows: 1740, External Id: 55702
09-11-19T12:57:53: Item Rows: 1750, External Id: 72167
09-11-19T12:57:53: Item Rows: 1760, External Id: 76316
09-11-19T12:57:53: Item Rows: 1770, External Id: 79169
09-11-19T12:57:53: Item Rows: 1780, External Id: 87473
09-11-19T12:57:53: Item Rows: 1790, External Id: 92590
09-11-19T12:57:54: Item Rows: 1800, External Id: 97675
09-11-19T12:57:54: Item Rows: 1810, External Id: 168227
09-11-19T12:57:54: Item Rows: 1820, External Id: 169640
09-11-19T12:57:54: Item Rows: 1830, External Id: 169642
09-11-19T12:57:54: Item Rows: 1840, External Id: 173769
09-11-19T12:57:55: Item Rows: 1850, External Id: 174291
09-11-19T12:57:55: Item Rows: 1860, External Id: 175910
09-11-19T12:57:55: Item Rows: 1870, External Id: 178942
