04-20-19T15:35:28: Start Log
04-20-19T15:35:28: Processing File: Chuck.xlsx
04-20-19T15:36:17: Item Rows: 1020, External Id: 36012042
04-20-19T15:36:17: Item Rows: 1030, External Id: 36012071
04-20-19T15:36:18: Item Rows: 1040, External Id: 36012219
04-20-19T15:36:18: Item Rows: 1050, External Id: 36004762
04-20-19T15:36:19: Item Rows: 1060, External Id: 36008849
04-20-19T15:36:19: Item Rows: 1070, External Id: 36005916
04-20-19T15:36:20: Item Rows: 1080, External Id: 36009084
04-20-19T15:36:20: Item Rows: 1090, External Id: 36006234
04-20-19T15:36:21: Item Rows: 1100, External Id: 36006369
04-20-19T15:36:21: Item Rows: 1110, External Id: 36005287
04-20-19T15:36:22: Item Rows: 1120, External Id: 36009294
04-20-19T15:36:22: Item Rows: 1130, External Id: 36006866
04-20-19T15:36:23: Item Rows: 1140, External Id: 36009987
04-20-19T15:36:23: Item Rows: 1150, External Id: 36013918
04-20-19T15:36:24: Item Rows: 1160, External Id: 36017494
04-20-19T15:36:24: Item Rows: 1170, External Id: 36015106
04-20-19T15:36:25: Item Rows: 1180, External Id: 36015908
04-20-19T15:36:25: Item Rows: 1190, External Id: 36016170
04-20-19T15:36:26: Item Rows: 1200, External Id: 36016899
04-20-19T15:36:26: Item Rows: 1210, External Id: 36015008
04-20-19T15:36:27: Item Rows: 1220, External Id: 36016293
04-20-19T15:36:27: Finished File: Retail Item-601 General Merchan_02.xlsx
04-20-19T15:36:27: File created in final csv folder: Retail Item-601 General Merchan_02.csv
04-20-19T15:36:27: ...
04-20-19T15:36:27: Processing File: Retail Item-601 General Merchan_03.xlsx
04-20-19T15:36:30: Item Rows: 10, External Id: 107842
04-20-19T15:36:30: Item Rows: 20, External Id: 11702
04-20-19T15:36:30: Item Rows: 30, External Id: 131915
04-20-19T15:36:31: Item Rows: 40, External Id: 14891
04-20-19T15:36:31: Item Rows: 50, External Id: 1009470
04-20-19T15:36:32: Item Rows: 60, External Id: 159519
