ItemExternalID,PurgeFlag,ItemName,ItemDescription,SoldAs,Category,BaseUOMClass,ReportedInUOM,Manufacturer,SKUNumber,Taxabililty,Active,Track,ExpenseUponReceiving,AllowFractionalQuantities,SetVarianceToZero,WasteTolerance,MissingTolerance,DefaultAdjustmentUOM,DefaultTransferUOM,ConvertFromUOMName1,ConvertFromUOMQty1,ConvertToUOMClass1,ConvertToUOMName1,ConvertToUOMQty1,ConvertFromUOMName2,ConvertFromUOMQty2,ConvertToUOMClass2,ConvertToUOMName2,ConvertToUOMQty2,RetailStrategy,PrompForQtyAtPOS,AutoQueueShelfLabel,RequiresSwipeAtPos,CreditCategoryCode,ShelfLabelUOM,PackName,PackQty,RetailLevelGroup,PackExternalId,ListPrice,BarcodeType,BarcodeNumber,attribute1,attribute_value1,attribute2,attribute_value2,attribute3,attribute_value3,attribute4,attribute_value4,attribute5,attribute_value5,attribute6,attribute_value6,attribute7,attribute_value7,attribute8,attribute_value8,attribute9,attribute_value9,attribute10,attribute_value10,attribute11,attribute_value11,attribute12,attribute_value12,attribute13,attribute_value13,attribute14,attribute_value14,attribute15,attribute_value15,attribute16,attribute_value16,attribute17,attribute_value17,attribute18,attribute_value18,attribute19,attribute_value19,attribute20,attribute_value20,attribute21,attribute_value21,attribute22,attribute_value22,attribute23,attribute_value23,attribute24,attribute_value24,attribute25,attribute_value25,attribute26,attribute_value26,attribute27,attribute_value27,attribute28,attribute_value28,attribute29,attribute_value29,attribute30,attribute_value30,group_name1,group_name2,group_name3,group_name4,group_name5,group_name6,group_name7,group_name8,group_name9,group_name10
10805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,c,_1070080427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108632,n,LUCAS TUNE UP 5.25z,,g,601 20A 03 Truck Additives,Count,,Lucas (Automotive),,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,601 General Merch,n,y,n,,,Each,1,601 General Merch Automotive,108632-1,3.89,,_,Brand-***,Lucas (automotive),Flavor Type-***,Non Applicable,Manufacturer-***,Lucas (Automotive),Product Size-***,5.25oz,Product Type-***,Misc. Trucker Merchandise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
109041,n,ICE MELT 10LB BAG,,g,601 27 401 Snow/Ice Melt,Count,,Misc. Seasonal,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,601 General Merch,n,y,n,,,Each,1,601 General Merch Seasonal,109041-1,2.99,c,_5004500018,Brand-***,Misc. Outside,Flavor Type-***,Non Applicable,Manufacturer-***,Misc. Seasonal,Product Size-***,10LB,Product Type-***,Ice Melt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
109041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,u,_750045000182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109745,n,z-I/A ROOSTER WILD BERRY LC,,g,601 01 400 Moist,Count,,US Smokeless Tobacco Co.,,Use Category Setting,n,n,n,n,n,,,Each,Each,,,,,,,,,,,601 Tobacco,n,y,n,,,Each,1,601 Tobacco Oral Premium,109745-1,4.55,,_,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,SKOAL,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,ALL SNUFF $.10 OFF,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,SKOAL/COPENHAGEN/ROOSTER,BUYDOWN/SPECIALS SMOKELESS TOB-fwv,KY SNUFF DISC PREM $.20 OFF,Flavor Type-***,Berry (Tobacco),Manufacturer-***,US Smokeless Tobacco Co.,Product Size-***,Misc. Tobacco,Product Type-***,Snuff,SMOKELESS TOBACCO-fwv,$2OFF2 SKOAL/COPEN/ROOSTER,SMOKELESS TOBACCO-fwv,UST PROMO APR/MAY 06,SMOKELESS TOBACCO-fwv,UST SINGLE CANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
1000554,n,z-TRACKER LOOSE LEAF,,g,601 20B 08 Truck Accessories,Count,,Barjan,,Use Category Setting,y,y,n,n,n,,,Each,Each,,,,,,,,,,,601 General Merch,n,y,n,,,Each,1,601 General Merch Automotive,1000554-1,6.99,u,_020126410132,Brand-***,Misc. School Supplies,Flavor Type-***,Non Applicable,Manufacturer-***,Barjan,Product Type-***,Misc. Trucker Merchandise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
1000554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Each,1,,,,c,_2012641013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110445,n,z-I/ACF WHL PLS HG,,g,601 07 210 1/2 Gallon Dairy,Count,,Country Fresh,,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,Dairy,n,y,n,,,Each,1,Dairy Half Gallon,110445-1,2.29,,_,Brand-***,Country Fresh,Flavor Type-***,Milk~ White,IKB KEY (POG)-***,3676,Manufacturer-***,Country Fresh,Product Size-***,64oz/Half Gallon,Product Type-***,Whl Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
102765,n,z-I/A DM BLUEBERRY MEGA MUFFIN,,g,601 05 000 Unclassified,Count,,Interstate Brands Corporation,,Use Category Setting,n,n,n,n,n,,,Each,Each,,,,,,,,,,,601 Snack Food,n,y,n,,,Each,1,601 Snack Food Pastry Other,102765-1,1.09,,_,Brand-***,Dolly Madison,Flavor Type-***,Blueberry,Manufacturer-***,Hostess Brands,Product Type-***,Muffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
104007,n,SNYDER MILD SALSA 11.5z- inactive,,g,601 04A 410 Dips/Salsas,Count,,Snyder of Berlin,,Use Category Setting,n,y,n,n,n,,,Each,Each,,,,,,,,,,,601 Snack Food,n,y,n,,,Each,1,601 Snack Food Chips,104007-1,2.19,,_,Brand-***,Snyder of Berlin,Flavor Type-***,Salsa,Manufacturer-***,Snyder of Berlin,Product Size-***,11.5oz,Product Type-***,Salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601 All items,Transfer Group,,,,,,,,
