1000002,100005,10016016
1000003,100006,10017594
1000008,100048,10024406
1000010,100051,10027038
1000020,10031,10041089
1000026,100379,10048006
1000027,100381,10050743
1000028,100382,10052316
1000035,10047,10018834
1000038,10050,10008539
1000039,10051,10009677
1000041,10052,10007588
1000043,10053,10009678
1000044,10054,10006601
1000045,10055,10007589
1000046,10056,10008540
1000048,10058,10006602
1000049,10059,10007590
1000050,10060,10008541
1000051,10061,10009680
1000052,10062,10006603
1000053,10063,10007591
1000056,10066,10006604
1000060,10070,10006605
1000062,10073,10008544
1000066,10074,10008545
1000068,10077,10006606
1000069,10078,10007593
1000070,10079,10008546
1000071,10080,10009683
1000072,10081,10006607
1000073,10082,10007594
1000074,10083,10008547
1000075,10084,10009684
1000077,10085,10007595
1000080,10086,10006608
1000083,10087,10009685
1000085,10089,10007596
1000086,10090,10008548
1000087,10091,10009686
1000088,10092,10006610
1000089,10093,10007597
1000090,10094,10008549
1000092,10096,10006611
1000093,10099,10007598
1000094,10101,10008550
1000095,10102,10009687
1000098,101024,10019741
1000102,10104,10008551
1000103,10105,10009688
1000105,10107,10007599
1000108,10108,10006613
1000110,10109,10008552
1000112,10111,10006614
1000113,101110,10007600
1000116,101132,10006615
1000118,101142,10008554
1000119,101147,10009691
1000122,10117,10008555
1000123,10118,10009692
1000124,10119,10006617
1000125,10120,10007602
1000126,10121,10008556
1000127,10122,10009693
1000128,10123,10006618
1000129,10124,10007603
1000132,10127,10006619
1000133,10128,10007604
1000134,10129,10008558
1000135,10130,10009695
1000136,10131,10006620
1000137,10132,10007605
1000138,10133,10008559
1000139,10134,10009696
1000140,10135,10006621
1000142,10137,10008560
1000145,10138,10007607
1000154,10142,10008561
1000155,10143,10009697
1000157,10145,10007608
1000158,10146,10008562
1000163,101499,10024408
1000168,101530,10006625
1000169,101531,10007611
1000170,101533,10008564
1000171,101535,10009699
1000172,101536,10035671
1000173,101544,10007612
1000174,101549,10008565
1000175,101550,10009700
1000181,10159,10007613
1000184,10160,10006628
1000185,10161,10007614
1000186,10162,10008566
1000190,10164,10008567
1000198,10165,10008568
1000203,10166,10009702
1000211,10167,10009703
1000213,105631,10050745
1000218,105674,10014497
1000221,105862,10018837
1000231,10632,10031338
1000232,10633,10033950
1000238,10642,10042703
1000239,10645,10044081
1000241,106500,10046546
1000242,10651,10049376
1000244,10661,10050746
1000248,10671,10013110
1000250,10674,10016019
1000251,10675,10017596
1000254,10677,10021836
1000256,10678,10024411
1000260,10685,10029936
1000262,10690,10031339
1000263,10692,10033951
1000264,10695,10036884
1000267,10703,10038275
1000268,10704,10041092
1000269,10705,10042704
1000270,10706,10044082
1000274,107121,10048009
1000276,10714,10052320
1000277,10715,10010478
1000280,10720,10014498
1000283,10728,10018839
1000284,10730,10019744
1000285,10731,10021837
1000290,10736,10028448
1000291,10738,10029937
1000293,10739,10031340
1000294,10740,10033952
1000295,10741,10036885
1000297,10744,10039551
1000298,10746,10038276
1000300,10750,10042705
1000303,107523,10046548
1000308,107529,10010479
1000309,10753,10011726
1000310,107530,10013112
1000313,107533,10017598
1000314,107534,10018840
1000315,107537,10019745
1000316,107539,10021838
1000317,10754,10023019
1000319,107545,10025800
1000321,107548,10028449
1000324,10757,10031341
1000327,10763,10035675
1000328,10765,10039552
1000329,107651,10038277
1000330,10766,10041094
1000333,10770,10045291
1000334,10771,10046549
1000335,10772,10049379
1000336,10773,10048011
1000337,10775,10050749
1000339,10776,10010480
1000341,10778,10013113
1000342,107809,10014500
1000347,10782,10021839
1000350,10783,10025801
1000353,10784,10029939
1000355,10785,10031342
1000357,10786,10036887
1000358,107876,10004307
1000359,107877,10005542
1000360,10789,10038278
1000361,10792,10041095
1000364,10794,10045292
1000365,107945,10046550
1000367,10798,10048012
1000368,10799,10050750
1000369,10800,10052323
1000374,10805,10016023
1000377,108096,10019746
1000380,108103,10006629
1000381,108108,10007615
1000382,108109,10008569
1000383,10811,10028451
1000384,108111,10006630
1000385,108113,10007616
1000387,108125,10009704
1000388,10813,10036888
1000389,10814,10035676
1000394,108373,10044086
1000418,108707,10033954
1000419,108708,10036889
1000420,108709,10035677
1000435,10900,10014503
1000437,109009,10017601
1000438,10901,10018842
1000439,10902,10019748
1000440,109024,10021842
1000441,109026,10023023
1000446,109041,10029941
1000448,10906,10031345
1000452,109102,10039555
1000454,109107,10041098
1000456,109134,10044088
1000458,10914,10046553
1000461,109196,10002024
1000462,109197,10052325
1000466,10924,10014504
1000467,10925,10016026
1000468,10926,10017602
1000469,10927,10018843
1000470,10928,10019749
1000471,10929,10021843
1000472,109327,10023024
1000473,10934,10024416
1000474,109346,10005543
1000490,10938,10049384
1000495,10945,10011731
