999,999,1000350,93,2019-04-24 00:00:01
999,999,1000353,64,2019-04-24 00:00:01
999,999,1000355,53,2019-04-24 00:00:01
999,999,1000358,0,2019-04-24 00:00:01
999,999,1000359,0,2019-04-24 00:00:01
999,999,1000360,8,2019-04-24 00:00:01
999,999,1000361,24,2019-04-24 00:00:01
999,999,1000364,38,2019-04-24 00:00:01
999,999,1000367,203,2019-04-24 00:00:01
999,999,1000368,39,2019-04-24 00:00:01
999,999,1000369,133,2019-04-24 00:00:01
999,999,1000380,145,2019-04-24 00:00:01
999,999,1000381,198,2019-04-24 00:00:01
999,999,1000382,144,2019-04-24 00:00:01
999,999,1000384,143,2019-04-24 00:00:01
999,999,1000385,58,2019-04-24 00:00:01
999,999,1000387,33,2019-04-24 00:00:01
999,999,1000435,24,2019-04-24 00:00:01
999,999,1000438,35,2019-04-24 00:00:01
999,999,1000446,0,2019-04-24 00:00:01
999,999,1000448,7,2019-04-24 00:00:01
999,999,1000454,19,2019-04-24 00:00:01
999,999,1000456,0,2019-04-24 00:00:01
999,999,1000461,0,2019-04-24 00:00:01
999,999,1000466,36,2019-04-24 00:00:01
999,999,1000467,41,2019-04-24 00:00:01
999,999,1000468,9,2019-04-24 00:00:01
999,999,1000469,13,2019-04-24 00:00:01
999,999,1000470,10,2019-04-24 00:00:01
999,999,1000471,8,2019-04-24 00:00:01
999,999,1000474,0,2019-04-24 00:00:01
999,999,1000490,13,2019-04-24 00:00:01
999,999,1000502,30,2019-04-24 00:00:01
999,999,1000505,3,2019-04-24 00:00:01
999,999,1000508,10,2019-04-24 00:00:01
999,999,1000510,10,2019-04-24 00:00:01
999,999,1000511,0,2019-04-24 00:00:01
999,999,1000543,0,2019-04-24 00:00:01
999,999,1000544,0,2019-04-24 00:00:01
999,999,1000548,21,2019-04-24 00:00:01
999,999,1000552,21,2019-04-24 00:00:01
999,999,1000565,0,2019-04-24 00:00:01
999,999,1000567,62,2019-04-24 00:00:01
999,999,1000569,39,2019-04-24 00:00:01
999,999,1000570,10,2019-04-24 00:00:01
999,999,1000571,0,2019-04-24 00:00:01
999,999,1000572,0,2019-04-24 00:00:01
999,999,1000580,8,2019-04-24 00:00:01
999,999,1000581,0,2019-04-24 00:00:01
999,999,1000582,126,2019-04-24 00:00:01
999,999,1000597,0,2019-04-24 00:00:01
999,999,1000601,0,2019-04-24 00:00:01
999,999,1000603,0,2019-04-24 00:00:01
999,999,1000605,0,2019-04-24 00:00:01
999,999,1000609,10,2019-04-24 00:00:01
999,999,1000610,88,2019-04-24 00:00:01
999,999,1000611,7,2019-04-24 00:00:01
999,999,1000614,0,2019-04-24 00:00:01
999,999,1000617,0,2019-04-24 00:00:01
999,999,1000620,11,2019-04-24 00:00:01
999,999,1000621,17,2019-04-24 00:00:01
999,999,1000622,0,2019-04-24 00:00:01
999,999,1000627,12,2019-04-24 00:00:01
999,999,1000628,6,2019-04-24 00:00:01
999,999,1000630,14,2019-04-24 00:00:01
999,999,1000631,1,2019-04-24 00:00:01
999,999,1000632,0,2019-04-24 00:00:01
999,999,1000633,0,2019-04-24 00:00:01
999,999,1000639,0,2019-04-24 00:00:01
999,999,1000641,0,2019-04-24 00:00:01
999,999,1000643,6,2019-04-24 00:00:01
999,999,1000644,8,2019-04-24 00:00:01
999,999,1000645,8,2019-04-24 00:00:01
999,999,1000646,0,2019-04-24 00:00:01
999,999,1000647,1,2019-04-24 00:00:01
999,999,1000648,7,2019-04-24 00:00:01
999,999,1000649,6,2019-04-24 00:00:01
999,999,1000650,8,2019-04-24 00:00:01
999,999,1000651,7,2019-04-24 00:00:01
999,999,1000653,14,2019-04-24 00:00:01
999,999,1000660,18,2019-04-24 00:00:01
999,999,1000688,0,2019-04-24 00:00:01
999,999,1000689,0,2019-04-24 00:00:01
999,999,1000690,0,2019-04-24 00:00:01
999,999,1000694,0,2019-04-24 00:00:01
999,999,1000696,0,2019-04-24 00:00:01
999,999,1000697,0,2019-04-24 00:00:01
999,999,1000698,0,2019-04-24 00:00:01
999,999,1000706,0,2019-04-24 00:00:01
999,999,1000707,0,2019-04-24 00:00:01
999,999,1000716,0,2019-04-24 00:00:01
999,999,1000725,0,2019-04-24 00:00:01
999,999,1000727,8,2019-04-24 00:00:01
999,999,1000730,0,2019-04-24 00:00:01
999,999,1000732,0,2019-04-24 00:00:01
999,999,1000733,0,2019-04-24 00:00:01
